NUM;AREA;LOCUS;BUCKET;CLASS;TYPE;MATERIAL;TECHNIQUE;DECORATION;PRESERVATION;FRAGMENTS;HEIGHT;LENGHT;WIDTH;THICKNESS;DIAMETER;PERF. DIAM.;WEIGHT;DESCRIPTION;
1;G;F.1000;500/d;coin;coin;bronze;moult;;complete;1;;;;0.35;1.7;;4;Bronze coin, recto and verso illegible.;
2;G;F.1000;500/e;coin;coin;bronze;moult;;complete;1;;;;0.4;1.8;;;"Bronze coin. Recto: head; verso: illegible.";
3;G;F.1000;500/a;coin;coin;bronze;moult;;complete;1;;;;0.2;2;;4;Bronze coin. Recto: illegible. Verso: illegible figure and inscription.;
4;Acropoli;F.1000;;Stone vessel;tripod;basalt;hand;;fragmentary;1;8.6;;;;16;;;"Tripod of fine grained basalt with vertical pointed leg; rim 2.4 cm, wall 2,5 cm, bottom 2,7 cm. Mortar used.";
5;C;F.900;400/c;stone vessel;tripod;basalt;hand;;fragmentary;1;7.1;;;;24;;;Tripod of fine grain basalt. Base: 3.5 Wall: 2.4 Rim: 1.6;
6;C;F.900;400/a;clay figurine;Animal figurine;clay;hand;;fragmentary;1;4.1+;5.1+;4.9+;;;;;Body fragment of an animal clay figurine.;
7;surface;Lower Palace Area;1004/d;clay figurine;Animal figurine;clay;hand;incised;fragmentary;1;7.9+;8.7+;5.6+;;;;;Body fragment of an horse clay figurine with harness.;
8;B;F.801;301/a;clay figurine;clay figurine;clay;hand;;fragmentary;1;4.9+;9.4+;4.4+;;;;;Body of an  animal clay figurine with harness;
9;B;F.801;301/b;clay figurine;clay figurine;clay;hand;applied;fragmentary;1;4.7+;;4.2;2.8;;;;Horse head with harness.;
10;C;F.900;401/a;textile tool;loom weight;pottery;hand;;fragmentary;1;;6.5+;4.1+;2.2;;0.9;;Fragment of a discoidal loom weight.;
11;G;F.1000;500/c;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.5;6;;;Fragment of dark twisted glass bracelet, with circular section.;
12;G;F.1000;500/b;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.6;7;;;Fragment of a glass twisted bracelet, with circular section.;
13;G;F.1002;502/d;metal ornament;ring;bronze;hand;;complete;1;2.3;;1.9;0.1;1.8;1.5;;Bronze ring, with a glass paste bead set in a circular mounting (diameter 1.2).;
14;B;F.801;303/a;coin;coin;bronze;moult;;complete;1;;;;0.2;1.8;;3;Bronze coin. Recto: illegible. Verso: greek inscription?.;
15;C;F.905;406/a;other;indeterminate;iron;hand;;fragmentary;1;;2.4+;;0.6;;;;Iron fragment, with a square section.;
16;G;F.1002;502/a;metal ornament;pin;iron;hand;;complete;1;;12;;0.4;;;;Iron pin.;
17;G;F.1002;502/c;coin;coin;bronze;moult;;complete;1;;;;0.45;2.4;;10;Bronze coin. Recto: head, greek? inscriptio. Verso: illegible.;
18;C;F.907;408/a;stone vessel;stone vessel;basalt;hand;;fragmentary;1;6.5;;;;14;;;Stone vessel of fine grained basalt, high foot, ring bottom, mortar used. Bottom: 6.6 cm;
19;surface;Lower Palace Area;1/c;stone vessel;basin;basalt;hand;;fragmentary;1;12.9+;11.8+;11.7+;;;;;"Basin of medium grained basalt, two legs preserved with rectangular section. Wall:3.5 cm; bottom: 5.9 cm.";
20;B;F.804;304/b;clay figurine;clay figurine;clay;hand;;fragmentary;1;5+;6.9+;3.9+;;;;;Body of a clay horse figurine.;
21;B;F.801;303/b;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;3.6+;6.6+;4.1+;;;;;Body of a horse clay figurine with harness.;
22;surface;Colonnaded Street;1001/a;clay figurine;Animal figurine;clay;hand;;fragmentary;3;4.1+;5.7+;4.7;;;;;Hinder part of an animal figurine.;
23;B;F.804;304/a;clay figurine;Animal figurine;clay;hand;;fragmentary;1;5.7+;7.7+;5.8+;;;;;Body fragment of an horse figurine.;
24;C;F.900;400/b;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;2.4+;4.6+;2.7+;;;;;Body fragment of an animal clay figurine with harness.;
25;G;F.1000;501/a;stone vessel;tripod;basalt;hand;;fragmentary;1;12.4+;;6.3;4.5;;;;"Tripod leg of fine grained bsalt; rectangular section leg.";
26;G;F.1000;501/b;ornament;bracelet;glass;hand;;fragmentary;;;;;0.6;8;;;Fragment of a twisted light blue glass bracelet.;
27;A west;F.602;102/a;ornament;bracelet;glass paste;hand;;fragmentary;1;;;;0.4;4;;;"Fragment of a ""glass paste"" bracelet, with circular section.";
28;A west;F.601;101/b;other;pipe;pottery;hand;incised;fragmentary;1;3,1+;;;;2.8;1.6;;Pipe head with geometric decoration on one band.;
29;G;F.1002;502/b;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.6;4;;;Fragment of a light blue glass bracelet, with emicircular section.;
30;A west;F.601;101/c;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.6;3;;;Fragment of torquoise glass bracelet, with emicircular section.;
31;A west;F.601;101/d;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.6;8;;;Fragment of a twisted glass bracelet, with circular section.;
32;A west;F.601;101/a;other;pipe;pottery;;incised;fragmentary;1;4.3+;;;;1.8;;;Pipe head with scale decoration on two bands.;
34;G;F.1002;502/f;coin;coin;bronze;moult;;complete;1;;;;0.2;1.45;;> 1;Bronze coin, recto and verso illegible.;
35;Acropoli;surface;;inscription;stele;limestone;hand;;fragmentary;1;28 +;32 +;34 +;;;;;Fragment of a limestone stele with incised inscription.;
36;G;F.1007;504/d;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.7;7;;;Fragment of a twisted glass bracelet.;
37;A west;F.602;102/c;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.7;4;;;Fragment of a torqouise glass bracelet, with emicircular section.;
38;A west;F.602;102/b;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.6;3;;;Fragment of torquoise glass bracelet, with emicircular section.;
39;G;F.1007;504/c;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.5;8;;;Fragment of a brown, yellow and light blue glass bracelet with triangular section.;
40;G;F.1002;502/e;clay figurine;clay figurine;clay;hand;;fragmentary;1;2.9+;6.9+;3.5+;;;;;Body of a animal clay figurine.;
42;G;F.1002;502/g;ornament;bracelet;glass;hand;;fragmentary;1;;;;1;9;;;Glass bracelet with emicircular section.;
43;G;F.1007;504/a;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.7;6;;;Fragment of glass bracelet, with emicircular section.;
44;G;F.1007;504/e;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.8;8;;;Glass bracelet with triangular section.;
45;G;F.1007;504/b;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.8;6;;;Fragment of blue glass bracelet, with triangular section.;
46;B;F.804;306/b;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;4.2;4.8+;;;;;;Body fragment of an animal figurine with harness.;
47;B;F.804;306/c;clay figurine;Animal figurine;clay;hand;;fragmentary;1;4.6+;5.5+;;;;;;Body fragment of an animal figurine.;
48;A west;F.602;102/e;metal ornament;bracelet;bronze;hand;;complete;1;;;0.9;0.1;5.3;;;Bronze bracelet.;
49;G;F.1007;504/f;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.6;6;;;Fragment of a twisted glass bracelet, with circular section.;
51;G;F.1006;503/b;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.6;;;;Bracelet of light blue glass., emicircular section.;
52;G;F.1002;502/h;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.6;4;;;Yellow glass bracelet with triangular section.;
53;surface;Lower Palace Area;1004/a;clay figurine;Antropomorphic figurine;clay;hand;;fragmentary;1;5.1+;;4.2+;1.6+;;;;Body of an antropomorphic figurine.;
54;A west;F.602;102/h;glass conteiner;glass vessel;glass;hand;;fragmentary;1;1.1;;;;9;;;"Yellow glass flat bottom. Bottom: 0.6 cm; wall: 0.3 cm.";
55;C;F.905;406/b;stone tool and weapon;blade;obsidian;hand;;fragmentary;1;;1.8+;1+;0.2;;;;Fragment of obsidiane blade.;
56;surface;Lawrence's House;1003/a;sculpture;relief;basalt;hand;;fragmentary;1;10.3+;11+;11.2+;;;;;Relief fragment of fine grained basalt.;
57;B;F.804;306/a;indeterminate;indeterminate;basalt;hand;;fragmentary;1;10.4+;16+;12.5+;;;;;Indeterminate basalt object of medium grained basalt.;
58;C;F.900;401/b;ornament;bead;glass paste;hand;;complete;1;;;;;0.5;;;Spherical light blue glass paste bead.;
59;C;F.923;412/c;coin;coin;bronze;moult;;complete;1;;;;0.2;1.7;;1;Bronze coin, recto and verso illegible.;
60;C;F.923;412/a;coin;coin;bronze;moult;;complete;1;;;;0.5;2.1;;9;Bronze coin, recto and verso illegible.;
61;C;F.923;412/d;coin;coin;bronze;moult;;complete;1;;;;0.4;2;;7;Bronze coin, recto illegible, verso latin inscription.;S C
62;A;F.807;308/a;other;indeterminate;iron;hand;;fragmentary;1;;5+;1.4+;1.1;;;;Iron fragment.;
63;C;F.915;413/b;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.4;2;;;Fragment of light blue glass bracelet.;
66;C;F.923;412/b;other;indeterminate;iron;hand;;fragmentary;1;;4.9+;;0.8;;;;Iron fragment.;
68;A west;F.602;102/f;metal tool&weapon;nail;iron;hand;;fragmentary;1;;3.6+;;0.7;;;;Iron nail with a nearly circular head .;
69;C;F.915;413/a;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.8;8;;;Fragment of glass bracelet, with triangular section.;
70;B;F.807;308/b;textile tool;spindle whorl;limestone;hand;;nearly complete;1;;2.3;2.1;1.8;;0.5;;Nearly discoidal spindle whorl.;
71;Angolo S-W acropolo, lungo la strada;surface;;stone vessel;basin;basalt;hand;;fragmentary;1;5.1;9.7+;13.8;5;;;;Small rectangular basin of medium-grained basalt, small rounded feet, shallow depression. Mortar used.;
72;C;F.907;408/b;clay figurine;Animal figurine;clay;hand;;fragmentary;1;3.3+;5.7+;3.7;;;;;Fragmentary body of an animal clay figurine.;
74;B;F.809;310/a;clay figurine;Animal figurine;clay;hand;;fragmentary;1;7.4;5.7+;5.3;;;;;Hind legs and part of a body of an animal clay figurine.;
75;B;F.804;306/e;clay figurine;clay figurine;clay;hand;;fragmentary;1;3,8 +;4 +;4,1 +;;;;;"Body fragment of an animal clay figurine with two posteriors. 7.5YR8/2; <0,5 mm, <3%.";
76;C;F.900;400/e;other;indeterminate;basalt;hand;;fragmentary;1;8.5;20.5+;13.5;;;;;Indeterminate object of fine grained basalt.;
77;B;F.807;308/c;textile tool;loom weight;clay;hand;;fragmentary;1;;7.8+;4.8+;3.5;;0.8;;Donut shaped loom weight.;
78;C;F.900;400/d;stone tool&weapon;grinder;basalt;hand;;fragmentary;1;;11.5+;17.2+;4.6;;;;Grinder of medium grained basalt.;
79;G;F.1015;507/d;stone vessel;stone vessel;basalt;hand;;fragmentary;1;16;;;;44;;;Stone vessel of fine grain basalt. Base: 6.6 Wall: 9.6 Rim: 4.5;
80;Angolo S-W acropoli;;;stone vessel;stone vessel;basalt;hand;;fragmentary;1;7.2;;;;24;;;"Stone vessel of medium-grained basalt. Bottom: 5.6; wall: 2.7; rim: 1.8. Flat? Rim (eroded), ring bottom. Mortar used.";
81;G;F.1006;503/e;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.6;6;;;Glass bracelet with circular section.;
82;G;F.1021;508/a;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.5;5;;;Green and yellow glass bracelet with black and white creasing? (cordonatura) along the edge.;
83;G;F.1021;508/b;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.6;5;;;Glass bracelet with triangular section.;
84;G;F.1006;503/c;ornament;bead;glass;hand;;complete;1;;0.7;;;0.5;0.2;;Green glass bead.;
85;G;F.1015;507/b;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.6;;;;Glass bracelet with circular section.;
86;G;F.1015;507/c;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.6;5;;;Fragment of glass bracelet, with circular section.;
87;G;F.1015;507/a;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.6;8;;;Blue glass bracelet with triangular section.;
88;A east;F.735;205/b;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.7;6;;;Dark glass bracelet with yellow and red strips.;
89;G;F.1006;503/d;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.5;4;;;Fragment of torquoise glass bracelet, with triangular section.;
90;B;F.804;306/d;sculpture;relief;basalt;hand;;fragmentary;2;24 +;40 +;30,5 +;;;;;Relief fragment of fine grained basalt with 2 bull legs.;
91;B;F.804;304/;textile tool;spindle whorl?;limestone;hand;;fragmentary;1;1.3;;;;5;0.8;;Limestone circular spindle whorl???, hole 2-side perfored with holes  (decoration???) 2-side perfored (d.: 0,45-0.50 cm).;
92;B;F.804;304/b;clay figurine;Animal figurine;clay;hand;;fragmentary;1;4.5+;;2.7;;;;;Leg of an animal clay figurine.;
93;B;F.801;303/a;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;2.6+;2.8;1.8;;;;;Head of an animal clay figurine.;
95;G;F.1006;503/f;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.7;5;;;Fragment of yellow glass bracelet, with traces of orange and green, and with triangular section.;
96;B;F.810;311/c;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;3.6+;9+;4.8+;;;;;Animal body of a clay animal figurine with harness.;
97;A east;F.756;200/a;stone tool&weapon;pestle;stone;hand;;complete;1;;;;;3.8;;;Spherical stone pestle.;
98;B;F.810;311/h;clay figurine;Animal figurine;clay;hand;;fragmentary;1;3.8+;5.5+;4.5+;;;;;Body of a animal clay figurine, probably an horse.;
99;B;F.810;311/g;clay figurine;clay figurine;clay;hand;applied;fragmentary;1;4.3+;6+;4.5+;;;;;Body of an horse clay figurine with harness.;
100;B;F.810;311/f;clay figurine;Animal figurine;clay;hand;;fragmentary;1;4.7+;5+;4.9+;;;;;Body of an animal clay figurine.;
101;B;F.810;311/e;other;indeterminate;bone;hand;;fragmentary;1;;3.4;1.5;0.4;;0.8;;Nearly discoidal bone object with a hole.;
102;B;F.119;311/m;other;indeterminate;bone;hand;;fragmentary;1;;3.4;1.8+;0.5;;0.9;;Nearly discodial bone object.;
103;B;F.810;311/b;clay figurine;Animal figurine;clay;;applied;fragmentary;1;3.7+;4.8+;4.7+;;;;;Body of an animal clay figurine, engravings on it.;
104;B;F.810;311/a;clay figurine;Animal figurine;clay;;applied;fragmentary;1;9.7+;6.5+;3.7+;;;;;Fragment of a horse clay figurine with harness.;
105;B;F.810;311/i;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;6+;5.6+;6.5+;;;;;Animal body of a clay figurine, one leg preserved.;
106;C west;F..922;411/a;;relief;basalt;hand;;fragmentary;1;14 +;19 +;13,4 +;;;;;Relief fragment of fine grained basalt with curly beard and robe.;
107;B;F.809;313/b;stone tool&weapon;counterweight;basalt;hand;;fragmentary;1;;;;7.6;17;3;;Donut shaped counterweight of medium grained basalt. Secondary use: polisher.;
108;E;F.400;1/b;stone tool&weapon;grinding stone;basalt;hand;;fragmentary;1;9.5+;25.5+;22.5+;7.8+;;;;Fragment of a grinding stone of medium grained basalt.;
109;surface;Acropoli;1000/b;stone tool&weapon;sharpener;basalt;hand;;fragmentary;1;10.5+;29+;20+;9.6;;;;Sharpener of fine grained basalt with circular groove near fracture angle and another one on the long side.;
111;A west;F.620;109/i;metal tool&weapon;nail;iron;hand;;nearly complete;1;;7.2;;0.5;;;;Iron nail with square section and a nearly square head (1.6 x 1.5).;
112;A west;F.620;109/l;metal tool&weapon;nail;iron;;;nearly complete;1;;8.9;;0.2;;;;Iron nail with nearly square section and nearly circular head.;
113;A west;F.621;108/a;metal ornament;bracelet;bronze;hand;;fragmentary;1;;;;0.7;10;;;Fragment of a bronze bracelet.;
114;A west;F.620;109/g;coin;coin;bronze;moult;;complete;1;;;;0.45;2.6;;16;Bronze coin. Recto: men's head, greek inscription?. Verso: greek inscription and laurel wreath.;
115;A west;;110/a;modern object;coupling;iron;;;complete;1;;;;;;;;Iron coupling. ;
116;A west;F.620;109/b;coin;coin;bronze;moult;;complete;1;;;;0.3;1.7;;3;Bronze coin, recto and verso illegible.;
117;A west;F.620;109/a;coin;coin;bronze;moult;;nearly complete;1;;;;0.4;2.4;;8;Bronze coin. Recto and verso illegible.;
118;A west;F.620;109/h;coin;coin;bronze;moult;;complete;1;;;;0.15;2;;3;Bronze coin, recto and verso illegible.;
119;A west;F.620;110/b;ornament;bracelet;glass;hand;;fragmentary;1;;;1.5;0.7;9;;;Glass bracelet ribbon-shape. Red ribbon and linear decoration yellow and blu. ;
120;A west;F.620;109/n;glass conteiner;glass vessel;glass;hand;;fragmentary;1;;;;;;;;Fragmentary  transparent glass vessel ;
121;A west;F.620;109/m;glass conteiner;glass vessel;glass;hand;;fragmentary;1;0.4;;;;7;;;"Transparent glass rim. Rim:0.3 cm; wall: 0.1 cm.";
122;A west;F.620;109/f;glass conteiner;glass vessel;glass;hand;;fragmentary;1;1.2;;;;4;;;Yellow glass ring bottom. Bottom: 0.5 cm.;
123;B;F.809;313/c;clay figurine;Animal figurine;clay;hand;applied;;1;5.1+;4.5+;4.3+;;;;;Front part of a animal's body of a clay figurine with harness.;
124;B;F.809;313/d;clay figurine;Animal figurine;clay;hand;;fragmentary;1;4.1+;7.5+;4;;;;;Fragment of a body of a animal clay figurine.;
125;B;F.811;312/a;stone tool&weapon;bullet;stone;hand;;complete;1;;;;;1.8;;;Nearly spherical white stone bullet.;
126;G;F.1022;510/c;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.5;4;;;Fragment of a torquoise bracelet, with circular section.;
127;G;F.1021;508/a;ornament;ring;glass ;hand;;complete;1;;;;0.4;1.8;;;Ring of glass paste with emicurcular section.;
128;G;F.1022;510/b;ornament;bead;glass paste;hand;;nearly complete;1;;1.4;1.4;0.7;;;;Orange glass paste bead.;
129;B;F.810;314/d;clay figurine;clay figurine;clay;hand;;fragmentary;1;5.1+;6.1+;4.5+;;;;;Body of an animal clay figurine.;
130;B;F.810;314/c;clay figurine;clay figurine;clay;hand;;fragmentary;1;5;5.1+;4.2;;;;;Body with hinds legs of an animal clay figurine.;
131;G;F.1023;511/a;ornament;ring;ivory;hand;;fragmentary;1;;;;0.6;2;;;Ivory ring;
132;G;F.1006;503/h;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.7;6;;;Fragment of light blue glass bracelet, with emicircular section.;
133;G;F.1022;510/a;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.6;5;;;Fragment of glass bracelet, with triangular section.;
134;B;F.810;314/i;clay figurine;clay figurine;clay;hand;;fragmentary;1;3.7+;6.1+;3.6+;;;;;Body fragment of an animal clay figurine.;
135;B;F.804;310/c;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;3.4+;;1.6;;;;;Leg of an animal figurine, with harness.;
136;G;F.1021;508/c;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.7;7;;;Dark blue glass bracelet.;
137;B;F.810;311/l;clay figurine;clay figurine;clay;hand;;fragmentary;1;7.2;7+;5.3;;;;;Body with hind legs of an animal clay figurine.;
138;B;F.810;314/a;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;5.3+;3.5;2.4;;;;;Head of an horse clay figurine with harness.;
139;B;F.810;314/b;clay figurine;clay figurine;clay;hand;;fragmentary;2;4.3+;7.1+;5.2+;;;;;Body of an animal clay figurine.;
140;B;F.801;301/c;clay figurine;Animal figurine;clay;hand;;fragmentary;1;4+;;3.3+;;;;;Leg of an animal clay figurine.;
141;G;F.1006;503/g;metal ornament;ring;bronze;hand;;complete;1;;;1.9;0.1;2.1;;;"Bronze ring, with a flat ""leaf-shaped"" mounting (lenght: 1.7; width: 1.1; thickness: 0.2), with a geometric decoration incised.";
142;B;F.809;315/c;metal figurine;banner;bronze;;;nearly complete;1;8;11.8;2.9;;;;;Bronze banner rappresented a animal (calf?) with curl tail and sphiral collar, at the opposite ends of mouth are 2 hole , d.0.25, (for harness???).  ;
143;G;F.1029;513/b;metal ornament;pin;bronze;hand;;nearly complete;1;;4+;;0.2;;;;Bronze pin, with twisted head.;
144;G;F.1015;507/h;metal ornament;ring;bronze;hand;;complete;1;;;;0.1;1.9;1.6;;Bronze ring with a bead set in a circular mounting (diameter 0.8).;
145;G;5 m sud area B;surface;coin;coin;bronze;moult;;complete;1;;;;0.2;1.2;;1;"Bronze coin, recto illegible; verso: cross?.";
146;B;F.809;315/b;ornament;bead;glass paste;hand;;complete;1;;;;0.8;1.2;;;Spherical glass paste bead;
147;G;F.1029;513/a;ornament;ring;glass;hand;;complete;1;;;0.4;0.3;;;;Black glass ring with emicurcular section.;
148;G;F.1015;507/e;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.7;7;;;Fragment of a blue glass bracelet, with triangular section (cordonatura bianca e nera).;
149;B;F.804;310/b;indeterminate;indeterminate;pottery;;incised;fragmentary;1;6;;4.5+;3.8+;;1;;Indeterminate clay object perfored, lines incised, perfored. ;
150;G;F.1008;509/a;clay figurine;Antropomorphic figurine;clay;hand;stamp;fragmentary;1;5.2+;;3.1+;2.8+;;;;Part oh a human figurine with circular stamp decoration on the back.;
151;B;F.809;315/a;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;3.2+;5.4+;3.9;;;;;Part of an horse head.;
152;B;F.810;314/l;indeterminate;indeterminate;clay;hand;;fragmentary;1;;4.9+;3.1;2.4;;0.7;;Indeterminate clay elonged object perfored. ;
153;surface;Lower Palace Area;1004/c;stone vessel;bowl;basalt;hand;;fragmentary;1;7+;;;;23;;;"Bowl of fine grained basalt; rim 2 cm, wall 1.6 cm.";
154;B;F.809;315/d;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;5+;4.1+;3.6+;;;;;Fragmentary front part of a animal clay figurine, with harness.;
155;B;F.114;318/b;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;5.8+;8.1+;6.1+;;;;;Body of a animal clay figurine with harness.;
156;G;F.1024;514/a;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;7.2+;5.9+;4.8+;;;;;Front part of ah horse clay figurine, probably burnt.;
157;C;F.924;416/b;coin;coin;bronze;moult;;complete;1;;;;0.3;2.1;;6;Bronze coin. Recto: illegible. Verso: greek inscription.;
158;B;F.809;315/e;stone tool&weapon;polisher;stone;hand;;fragmentary;1;;8.3;7.2+;7.1;;;;Polisher of grey stone with triangular section.;
159;B;F.809;315/f;stone tool and weapon;polisher;stone;hand;;fragmentary;1;;7.9+;4.6;2.8;;;;Elonged polisher of grey stone, polishing pebble used.;
160;C;F.923;418/a;other;indeterminate;basalt;hand;;fragmentary;1;;19+;12.5+;5.7;;4.1;;Indeterminate object of fine grained basalt with a hole.;
161;surface;Inner Town;1002/c;sculpture;relief;basalt;hand;;fragmentary;1;;10+;7.5+;3.6+;;;;Incised relief fragment of fine grained basalt.;
162;surface;Inner Town;1002/d;sculpture;relief;basalt;hand;incised;fragmentary;1;12.5+;;11+;5.2+;;;;relief fragment of fine grained basalt with three vertical bands.;
163;A west;F.601;101/e;sculpture;sculpture;basalt;hand;;fragmentary;1;34 +;26,5 +;13 +;;;;;Sculpture fragment of fine grained basalt (head?).;
164;G;F.1029;517/a;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;4.9;8.9;4.2;;;;;Body of a animal clay figurine, with harness.;
165;G;F. 1022;510/d;coin;coin;bronze;moult;;complete;1;;;;0.4;2.4;;8;Bronze coin. Recto: men's head. Verso: greek inscription.;
166;B;F.809;317/b;clay figurine;Animal figurine;clay;hand;;fragmentary;1;3.4+;;1.8;;;;;Leg of an animal clay figurine.;
167;C;F.946;423/a;textile tool;loom weight;stone;hand;;fragmentary;1;;;;1.2;4.6;0.8;;Donut shaped stone loom weight.;
168;C;F.923;418/b;textile tool;loom weight;clay;hand;;fragmentary;1;;;;2.6;5;1.6;;Donut shaped loom weight;
169;C;F.924;416/b;clay figurine;clay figurine;clay;hand;;fragmentary;1;9.5+;;8.1+;5.7+;;;;Legs of big antropomorphic clay figurine?;
170;surface;Lower Palace Area;1004/b;ornament;bracelet;glass paste;hand;;fragmentary;1;;;;0.8;7;;;Fragment of a glass paste green, orange and yellow bracelet.;
171;A west;F.628;114/a;ornament;bead;semiprecious stone;hand;;nearly complete;1;;2.1;;;0.9;0.4;;Cylindrical stone bead;
173;C west;F. 914;417/a;Ornament;bracelet;glass;hand;;fragmentary;1;;;;0.5;5;;;Fragment of a torquoise glass bracelet, with emicircular section.;
