NUM;AREA;LOCUS;BUCKET;CLASS;TYPE;MATERIAL;TECHNIQUE;DECORATION;PRESERVATION;FRAGMENTS;HEIGHT;LENGHT;WIDTH;THICKNESS;DIAMETER;PERF. DIAM.;WEIGHT;DESCRIPTION;
510;C east;F.1359;483/a;stamp seal;stamp seal;stone;hand;incised;fragmentary;1;2.3;;1.9+;1.8;;0.2;;White stone stamp seal troncoconical-shape. Two side incised: at the bottom and one big side.  1) On the big side: offerent man with beard, fringed dress, and rounded tiara, long hair with curly on the end under the star. 2) Offerent, with the long smooth dress, in front of the altar;
511;C east;F.1320;456/a;textile tool;spindle whorl;stone;hand;;nearly complete;1;;;;0.7;2.4;0.5;;Emispherical stone spindle whorl.;
512;C east;F.1325;459/a;inscription;monumental inscription;basalt;hand;;fragmentary;1;6+;;5.8;4+;;;;Monumental hieroglific inscription of fine-grained basalt.;
513;C east;F.1357;478/h;other;indeterminate;bronze;mold;;fragmentary;16;;;0,3;;;;;Fragments of a bronze lamina;
514;C east;F.1357;478/i;METAL TOOL & WEAPON;sword;iron;;;nearly complete;4;;37.9;5.3;3.3;;;;Iron sword. Smooth and tapered blade (25.1 x 4 x1.4 cm), hilt (12.8 x 5.3 x 3.3 cm) heart-shape in the blade insert, with pommel.;
515;C;F.995;445/a;sculpture;relief;basalt;hand;;fragmentary;1;60;61;48;;;;;Relief fragment of fine grained basalt with lion head.(IN SITU);
516;outer town;;;clay figurine;clay figurine;clay;hand;applied;fragmentary;1;3,4 +;8 +;4,2 +;;;;;Body fragment of an animal clay figurine with harness. 5YR8/3, <0,5-1 mm, <3%.;
517;Rampart;F.1005;1005/a;clay figurine;antropomorphic figurine;clay;hand;incised;complete;1;7,9;;3,8;3,2;;;;"Tronco conical antropomorphic figurine rough made.
2.5YR6/6; <0.5 mm, <3 %";
518;C east;F.1352;489/b;clay figurine;animal figurine;clay;hand;applied;fragmentary;1;5+;0,16875;2.6+;;;;;Head of an animal figurine. 10YR7/4. Inclusion: <3%, 0.5-1mm ;
519;outer town;surface;;clay figurine;clay figurine;clay;hand;applied;fragmentary;1;7,8 +;3,8 +;4,7 +;;;;;"Fragment of an horse figurine with harness. 5YR8/2; <0.5 mm, <3%.";
520;C east;F.1356;475/b;textile tool;loom weight;clay;hand;;nearly complete;1;3.5;;;;4.8;;;Clay biconcal loom weight;
521;C east;F.1376;491/a;indeterminate;indeterminate;iron;-;;fragmentary;1;;;;0.75;12;;;Fragment of iron circular object.;
522;C east;F.1352;489/w;METAL TOOL & WEAPON;indeterminate;bronze;hand;;fragmentary;1;;5.4+;2;0.5;;;;Indeterminate bronze lamina (blade?);
523;C east;F.1352;489/x;indeterminate;indeterminate;iron;-;;fragmentary;1;;;;1;14;4;;Fragment of iron circular object with hole in the center. ;
524;est via colonnata;surface;;coin;coin;copper;moult;;complete;1;;;;0.25;1.75;;2;Bronze coin. Recto: men's head and latin inscription. Verso: 2 warrior with spear and short skirt and object in the center and latin inscription.;
525;A east;F.781;208/d;glass conteiner;glass vessel;glass;hand;;fragmentary;1;;;;;;;;Fragmentary  transparent glass vessel ;
526;A east;F.781;208/d;modern object;dice;plastic;;;fragmentary;1;;;;;;;;Plastic dice.;
527;A west;F.674;157/a;Ornament;bead;glass paste;hand;;nearly complete;1;;;;0.4;1;0.2;;Orange glass paste bead.;
528;C east;F.1368;488/c;textile tool;spindle whorl;stone;hand;;complete;1;;;;0.8;2.2;0.2;;Emispherical stone spindle whorl.;
529;C east;F.1368;488/b;stone vessel;bowl;basalt;hand;;fragmentary;1;4,3 +;;;;20;;;Bowl fragment of fine grained basalt, rim 2.3 cm, wall 1 cm.;
530;A west;W.5;165/a;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;5.1+;5.2+;3.2;;;;;Head of an horse figurine, with harness. 5YR7/4. Inclusion;
531;C east;F.1376;491/t;metal tool&weapon;harrowhead;iron;mold;;fragmentary;2;5,8;;1,1;0,8;;;;Iron harrowhead,romboidal shaped.;
533;C east;F.1376;491/c;metal tool&weapon;harrow head;iron;mold;;nearly complete;1;5,9;;1,4;0,9;;;;Iron harrowhead, leaf shaped.;
534;C east;F.1352;489/a;metal vessel;metal vessel;iron;hand;;fragmentary;6;3.4;;;;12;;;Iron bowl, high foot, extroflex rim, carenated. Bottom: d. 4.4 cm, rim: 0.5, wall: 0.6 cm.;
535;A west;F.1300;166/c;METAL TOOL & WEAPON;nail;bronze;hand;;fragmentary;1;6.9+;;0.6;0.6;;;;Fragment of nail stem, square section.;
536;A west;F.1300;166/b;METAL TOOL & WEAPON;nail;bronze;hand;;complete;1;2.5;;;;0.7;;;Small bronze nail, round head and stam section.;
537;A west;F.1300;166/a;metal tool&weapon;nail;bronze;hand;;fragmentary;1;2 +;;1;0,4;;;;Fragment of a bronze nail with circular head and rectangular section.;
538;A east;F.781;208/f;METAL TOOL & WEAPON;key;iron;moult;;fragmentary;1;2.9;5.1+;;;1.1;;;Iron key with teeth.;
539;A east;F.781;208/b;glass conteiner;glass vessel;glass;hand;;fragmentary;1;1.4+;;;;12;;;"White glass rim. Rim 0.6 cm; wall: 0.8 cm. ";
540;A west;F. 62?;168/b;stone tool;mortar;basalt;hand;;nearly complete;1;6;;;;15;;;Stone vessel of fine grained basalt with shallow depression.;
541;C east - Royale Buttress;F.1395;497/a;sculpture;relief;basalt;hand;;fragmentary;1;9.1+;;12.3+;3.7+;;;;Fragment of medium-grained basalt relif with eye incised.;
542;C east;F.1368;488/a;other;bone figurine;bone;hand;incised;fragmentary;1;5.7+;;0.9+;1.1;;;;Bone figurine rappresented the gowned man. Perticular of hair, face, hand and dress incised. ;
543;A west;F.689;159/b;METAL TOOL & WEAPON;pin;bronze;hand;;fragmentary;1;5.9+;;1.2;1;0.5;;;Bronze pin,round section stem, curl head.;
544;C east;F.1376;491/d;metal tool&weapon;harrow head;iron;mold;;nearly complete;1;2,8;;0,9;0,7;;;;Iron harrowhead, piramidal shaped.;
546;C east;F.1376;491/f;metal tool&weapon;harrow head;iron;mold;;complete;1;3,5;;1,1;0,9;;;;Iron harrowhead, piramidal shaped.;
547;C east;F.1376;491/g;metal tool&weapon;harrow head;iron;mold;;nearly complete;1;3,2;;;1;;;;Iron harrowhead, piramidal shaped.;
548;C east;F.1376;491/h;METAL TOOL & WEAPON;arrowhead;iron;moult;;complete;1;;4.6;0.8;0.8;;;; Piramidal-shape, square section iron arrowhead ;
549;C;F.1376;491/i;metal tool&weapon;harrow head;iron;mold;;complete;1;5;;1;0,8;;;;Iron harrowhead,romboidal shaped.;
550;C east;F.1376;491/j;metal tool&weapon;harrow head;iron;mold;;nearly complete;1;5,6;;1,4;0,8;;;;Iron harrowhead, romboidal shaped.;
551;C east;F.1376;491/k;metal tool&weapon;harrow head;iron;mold;;nearly complete;1;4,5;;1;0,8;;;;Iron harrowhead, piramidal shaped.;
552;C east;F.1376;491/l;metal tool&weapon;harrow head;iron;mold;;complete;1;3,7;;0,8;0,7;;;;Iron harrowhead, piramidal shaped.;
553;C east;F.1376;491/m;metal tool&weapon;harrow head;iron;mold;;complete;1;4;;0,9;0,9;;;;Iron harrowhead, piramidal shaped.;
554;C east;F.1376;491/n;metal tool&weapon;harrow head;iron;mold;;nearly complete;1;3,3;;0,8;0,8;;;;Iron harrowhead, piramidal shaped.;
555;C east;F.1376;491/o;metal tool&weapon;harrow head;iron;mold;;complete;1;4,3;;0,9;0,8;;;;Iron harrowhead, piramidal shaped.;
556;C east;F.1376;491/p;metal tool&weapon;harrow head;iron;mold;;fragmentary;1;1,4 +;;0,9;0,4;;;;Fragment of an iron harrowhead.;
557;C east;F.1376;491/q;METAL TOOL & WEAPON;arrowhead;iron;moult;;fragmentary;1;;2.7;0.8;0.7;;;;Romboidal-shape, square section iron arrowhead.;
558;C east;F.1376;491/r;metal tool&weapon;harrow head;iron;mold;;nearly complete;1;3,1;;1,1;1;;;;Iron harrowhead, piramidal shaped.;
559;C east;F.1376;491/s;metal tool&weapon;harrow head;iron;mold;;complete;1;5,3;;1,4;1;;;;Iron harrowhead, piramidal shaped.;
560;C east;F.1376;491/u;metal tool&weapon;harrow head;iron;mold;;complete;1;4,6;;0,8;0,8;;;;Iron harrowhead, piramidal shaped.;
561;C east;F.1376;491/b;metal tool&weapon;harrow head;iron;mold;;complete;1;4,2;;1,2;0,9;;;;Iron harrowhead, romboidal shaped.;
562;C east;F.1376;491/z;metal tool&weapon;harrow head;iron;mold;;complete;1;4,3;;0,8;0,7;;;;Iron harrowhead, piramidal shaped.;
563;A west;F.621;168/a;sculpture;statue;basalt;hand;;fragmentary;1;7.5+;;7.8+;2.2+;;;;Fragmentary statue of medium-grained basalt with 4 vertical lines incised. ;
564;C east (RB);W.1386;499/a;sculpture;relief;limestone;hand;;fragmentary;1;93,5;54;26;;;;;Half limestone ortostat with a very eroded bull. Reused in Royal Buttress structure. (IN SITU);
565;C east;F.1345;476/q;stone vessel;vessel;basalt;hand;;fragmentary;1;;;;;;;;"Base fragment of fine grained basalt; wall 1.7 cm, base 1 cm.";
566;C east;F.1345;471/a;clay figurine;clay figurine;clay;hand;applied;fragmentary;1;7,8 +;7,7 +;5,1 +;;;;;"Fragment of animal clay figurine, head and part of the body preserved. 2.5Y8/2; <0.5 mm, <3%.";
567;Woolley's boulvard;surface;;sculpture;sculpture;basalt;hand;;fragmentary;1;12,5 +;10 +;10,5 +;;;;;relief fragment of fine grained basalt.;
568;Woolley boulvard;surface;;sculpture;relief;basalt;hand;;fragmentary;1;13.5+;;11.3+;7.1+;;;;Relif of medium-grained basalt, with lion plait.;
569;C east;F.1345;476/i;sculpture;relief;basalt;hand;;fragmentary;1;10.2+;;4.2+;1.6+;;;;Fragagment of relief with linear part in relief.;
570;C east;F.1345;476/l-m-c;inscription;monumental inscription;basalt;hand;;fragmentary;1;23.7+;;16.9+;9.9+;;;;Angolar part of monumental inscription (2 lines) of fine-grained basalt.;
571;Lawrence's house;F.1502;590/c;modern object;padlock;iron;;;complete;1;;;;;;;;Padlock from the Woolley's house;
572;Lawrence's house;F.1502;590/a;Modern object;tube;aluminium;;;nearly complete;1;;;;;;;;Aluminium tube (toothpaste or tempera?).;
573;G;F.1086;566/a;ornament;bead;amber;hand;;nearly complete;1;1.5;;;;1.9;0.35;;Amber spherical bead, hole 2-side perfored. ;
574;A west;F.1416;178/b;clay figurine;clay figurine;clay;hand;applied;fragmentary;1;6,6 +;;4,9 +;2,4;;;;"Body fragment armless and headless of an humanoid clay figurine. 10YR8/1; <0.5 mm, <3%.";
575;A west;F.1409;170/a;stone tool and weapon;polisher;stone;hand;;fragmentary;1;;4.7+;2.7+;4.1;;;;Fragmentary elonged polisher of black stone;
576;A west;F.1049;170/b;stone vessel;stone vessel;basalt;hand;;fragmentary;1;7.8;;;;33;;;Fragmentary stone vessel of medium-grained basalt, flat rim, mortar used. Rim:2.5  cm, Wall:2.9 cm;
578;Magazzino Woolley house;surface;;inscription;monumental inscription;basalt;hand;;fragmentary;1;13.5+;;10.6+;6.8+;;;;Monumental hieroglific inscription of medium-grained basalt.;
580;C east;F.1380;800/a;METAL TOOL & WEAPON;key;iron;;;fragmentary;1;;4.6;1.6;0.9;;;;Fragment of iron key, with one tooth.;
581;A west;F.24;175/a;architectonical part;frieze;limestone;hand;;fragmentary;1;7.4+;;10.3+;11.1;;;;Fragmentary roman frieze of limestone.;
582;C east;F.1345;476/f;ornament;fibula;bronze;hand;;fragmentary;1;2.4+;6.1;1;0.6;0.6;;;Bronze fibula with cube decoretion.;
583;via colonnata tratto sud;surface;;coin;coin;copper;moult;;complete;1;;;;0.1;1.6;;> 1;Copper coin. Recto: illegible. Verso: arabic inscription?.;
584;via colonnata tratto sud;surface;;coin;coin;bronze;moult;;complete;1;;;;0.3;1.6;;2;Bronze coin, recto and verso illegible.;
585;via colonnata tratto sud;surface;;coin;coin;bronze;moult;;complete;1;;;;0.2;1.4;;2;Bronze coin, recto and verso illegible.;
586;Inner Town;surface;;coin;coin;bronze;moult;;complete;1;;;;0.3;1.5;;2;Bronze coin, recto and verso illegible.;
587;Inner Town;F.1002;1002/g;stone tool and weapon;axe;stone;hand;;fragmentary;1;;6;5;2.1;;;;Black and white stone small axe, polisher used.;
588;C east (R.B);F.1391;496/b;sculpture;sculpture;basalt;hand;;fragmentary;1;17,5 +;24 +;18 +;;;;;sculpture fragment of fine grained basalt;
589;C east (R.B);F.1391;496/a;sculpture;sculpture;basalt;hand;;fragmentary;1;11,5 +;43 +;23,5 +;;;;;sculpture fragment of fine grained basalt;
590;C east;F.1345;476/p;sculpture;statue;basalt;hand;;fragmentary;1;28.9+;;29.2+;3.2+;;;;Statue of medium-grained basalt, with lion hides.;
591;A west;F.1424;178/d;clay figurine;figurine;clay;hand;applied;fragmentary;1;5.6+;;2.4;2.1;;;;Clay horse leg with harness;
592;A west;F.1416;178/c;clay figurine;clay figurine;clay;hand;applied;fragmentary;1;6,2 +;6 +;5 +;;;;;"Fragment of animal clay figurine headless. 5YR8/3; < 0,5 mm, <3%.";
593;A west;F.1416;178/a;clay figurine;clay figurine;clay;hand;;fragmentary;1;3,6 +;7,6 +;3,4 +;;;;;Body fragment of an animal clay figurine. 10YR8/3, <0.5 mm, <3%.;
595;C east;F.1380;800/b;inscription;monumental inscription;basalt;hand;;fragmentary;1;11.4+;;8.1+;9.9+;;;;Monumental hieroglific inscription of medium-grained basalt.;
596;C;F.1329;466/c;metal tool&weapon;graffa;iron;hand;;nearly complete;1;4,4;;;0,7;;;;Iron nail or graffa.;
597;C east;F.1329;466/d;metal tool&weapon;plug;iron;hand;;nearly complete;1;4,8;;1,3;0,9;;;;Iron nail, or graffa.;
598;C east;F.1329;466/e;metal tool&weapon;harrow head;iron;mold;;nearly complete;1;4,1;;1;0,8;;;;Iron harrowhead, piramidal shaped.;
599;A west;F.24;175/b;stone vessel;basin;limestone;hand;;fragmentary;1;9.4;15.7+;12.6+;;;;;Fragmentary rectangular basin of limestone, irregular depression;
600;F;F..892;397/a;indeterminate;indeterminate;limestone;hand;;nearly complete;1;;7.6;4.1;2.4;;0.6-0.6-0.4;;Indetrminate limestone object, comb-shape, with 2 holes (d.0.6 cm) in the front side and one hole (d.0.4 cm) on the external tooth;
601;H;F.1245;632/a;clay figurine;clay figurine;clay;hand;applied;fragmentary;1;5+;;4.1;2.9;;;;Upper part of man's clay figurine, with beard (baked for fire?).;
602;F;15 m E G.461;surface;METAL TOOL & WEAPON;arrowhead;iron;moult;;complete;1;;5.4;1.3;0.8;;;;Romboidal-shape, flat arrov head, tapper stem.;
603;Lawrence's house;F.1504;591/l;sculpture;sculpture;basalt;hand;;fragmentary;1;15,5 +;31 +;10,2 +;;;;;Sculpture fragment of fine grained basalt;
604;Lawrence's house;F.1504;591/c;sculpture;sculpture;basalt;hand;;fragmentary;1;9,5 +;23 +;21,5;;;;;Fragment of fine grained basalt of a lion paw.;
605;Lawrence's house;F.1504;591/d;sculpture;sculpture;basalt;hand;;fragmentary;1;15 +;29 +;17,5 +;;;;;Sculpture fragment of fine grained basalt.;
606;Lawrence's house;F.1504;591/i;sculpture;relief;basalt;hand;;fragmentary;1;16+;;14.3+;4.3+;;;;Fragment of relief of medium-grained basalt, with part of arm???;
607;Lawrence's house;F.1504;591/g;sculpture;relief;basalt;hand;;fragmentary;1;9.5;;14.6+;11.8+;;;;Fragment of relief of medium-grained basalt, with guilloche. Low relief (strip).;
608;Lawrence's house;F.1504;591/f;sculpture;relief;basalt;hand;;fragmentary;1;24 +;;15,5 +;6,7 +;;;;Relief fragment of fine grained basalt.;
609;Lawrence's house;F.1504;591/b;sculpture;relief;basalt;hand;;fragmentary;1;15 +;17 +;12 +;;;;;Relief fragment of fine grained basalt with horn (?).;
610;Lawrence's house;F.1504;591/a;sculpture;sculpture;basalt;hand;;fragmentary;1;21,5 +;;15 +;7 +;;;;Sculpture fragment of fine grained basalt of lion's mane.;
611;Lawrence's house;F.1504;591/h;inscription;monumental inscription;basalt;hand;;fragmentary;1;25 +;24,5 +;25 +;;;;;Monumental inscription of fine grained basalt. With reading 12  176.;
612;C east;F.1352;489/c;stone tool and weapon;bullet?;flint;hand;;complete;1;;;;;4.6;;;Flint spherical bullet?;
613;E via colonnata;surface;;coin;coin;bronze;moult;;nearly complete;1;;;;0.5;1.8;;7;Bronze coin, recto illegible inscription, verso illegible.;
614;E via colonnata;surface;;coin;coin;bronze;moult;;complete;1;;;;0.4;1.7;;7;"Bronze coin. Recto: head; verso: illegible.";
615;A west;F.1409;170/e;METAL TOOL & WEAPON;nail;nail;hand;;complete;1;0.6+;;;;1;;;Small nail, round head and stem section.;
616;A west;F.1409;170/c;METAL TOOL & WEAPON;nail;bronze;hand;;fragmentary;1;1.3;;0.8;0.5;0.3;;;Small bronze nail, round head and stam section.;
617;A west;F.1409;170/d;METAL TOOL & WEAPON;arrowhead;iron;moult;;fragmentary;1;;4.6;1.8;0.9;;;;Romboidal-shape flat iron arrowhead.;
618;E Hilani;surface;;metal vessel;bronze vessel;bronze;hand;;fragmentary;1;2.4;;;;26;;;"Fragmentary flat of bottom bronze vessel . Wall: 0.4 cm; bottom: 0.7 cm.";
619;A west;F.679;152/b;METAL TOOL & WEAPON;indeterminate;iron;-;;fragmentary;1;4.5;;1.2;1.2;;;;Fragment of iron stem (nail?);
620;C east;F.1387;802/c;METAL TOOL & WEAPON;arrowhead;iron;moult;;complete;1;;5.9;1.2;1.1;;;;Romboidal-shape iron arrowhead, square part inside the hilt.;
621;C east;F.1387;802/d;METAL TOOL & WEAPON;nail;iron;hand;;nearly complete;2;6.8;;;;3;;;Iron nail, circular section, semispherical haed.;
622;C east;F.1387;802/b;METAL TOOL & WEAPON;indeterminate;iron;-;;fragmentary;1;5.6;;;;1.2;;;Fragment of iron stem, circular section (nail?);
623;C east;F.1376;491/e;metal tool&weapon;arrowhead;iron;mold;;complete;1;4,5;;0,9;0,8;;;;Iron harrowhead, piramidal shaped.;
624;Lawrence house;F.1504;592/c;sculpture;sculpture;basalt;hand;;fragmentary;1;27 +;21,5 +;16 +;;;;;Sculpture fragment of fine grained basalt.;
625;Lawrence house;F.1504;592/a;sculpture;relief;basalt;hand;;fragmentary;1;33 +;21 +;15 +;;;;;Relief fragment of fine grained basalt. Old reading 12-36.;
626;Lawrence's house;F.1504;592/b;sculpture;statue;basalt;hand;;fragmentary;1;24.8+;9.6+;11.2+;;;;;Fragment of lion food. Original Woolley' sign preserved.;
627;Lawrence's house;F.1504;592/e;sculpture;sculpture;basalt;hand;;fragmentary;1;15 +;14,2 +;6,5 +;;;;;Sculpture fragment of fine grained basalt with vertical strips.;
628;Lawrence's house;F.1504;592/f;stone vessel;stone vessel;basalt;hand;;fragmentary;1;24.2+;;;8.9+;;;;Fragment of big stone vessel, carenated.;
629;Lawrence's house;F.1504;592/d;sculpture;sculpture;basalt;hand;;fragmentary;1;15 +;25 +;11,5 +;;;;;sculpture fragment of fine grained basalt;
630;C east;F.1343;470/d;clay figurine;clay figurine;clay;hand;applied;fragmentary;1;3.2+;3.3+;2.1;;;;;Head of clay horse with applied eyes.;
631;G;F.1075;557/a;clay figurine;clay figurine;clay;hand;;fragmentary;1;4.3+;2.8+;3.7+;;;;;Body of clay horse.;
632;A west;N Temple A;;stone vessel;stone vessel;basalt;hand;;fragmentary;1;8.6;;;;36;;;"Stone bowl, flat rim and bottom. Mortar used. Rim: 2.5 cm; wall: 3.8 cm; bottom: 3.9 cm.";
633;Lawrence's house;F.1502;590/b;modern object;elettric bobbin;pottery;;;fragmentary;1;;;;;;;;White pottery elettric bobbin;
634;C;F.1380;800/f;other;indeterminate;iron;hand;;fragmentary;8;9,2 +;4,5;3,8 +;;;;;Indeterminate iron object (handle?).;
635;Inner Town;surface;;glass conteiner;bottle;glass;hand;;fragmentary;1;1.5;;;;2.9;;;Blue glass rim of bottle.;
636;Inner Town;surface;;ornament;bracelet;glass;hand;;fragmentary;1;;;0.8;0.8;9;;;Green glass bracelet with white, red e green decoration.;
637;Inner Town;surface;;other;pipe;pottery;hand;stamped;fragmentary;1;;4.8;;;2.5;;;Fragment of islamic pipe with stamp naturalistic decoration.;
638;C east;F.1343;740/b;clay figurine;clay figurine;clay;hand;applied;fragmentary;1;4.3+;5.4+;3.7;;;;;Body of clay horse with harness.;
639;C east;F.1343;470/c;clay figurine;clay figurine;clay;hand;;fragmentary;1;5.4+;5.6+;6+;;;;;Body of clay horse.;
642;Lower Palace Area ;surface;;clay figurine;clay figurine;clay;hand;applied;fragmentary;1;4.3+;8.3+;5.2;;;;;Body of clay horse with harness (with the rider?);
643;A east;F.787;212/b;clay figurine;clay figurine;clay;hand;;fragmentary;1;3.9+;3.8+;4.1;;;;;Body of clay horse.;
644;C east;F.1334;465/b;indeterminate;indeterminate;bronze;hand;incised;fragmentary;1;;6.4;1.7;0.2;;;;Fragmentary lamina with linear inciset decoration.;
645;C east;F.1334;465/c;coin;coin;bronze;moult;;nearly complete;1;;;;0.2;1.7;;3;"Bronze coin. Recto: men's head; verso: two warrion???.";
646;C east;F.1387;802/a;inscription;monumental inscription;basalt;hand;;fragmentary;1;32,5 +;54 +;33,5 +;;;;;Inscripion fragment of fine grained basalt.;
647;C east;F.1390;498/a;sculpture;relief;basalt;hand;;fragmentary;1;51 +;32,5 +;28,5 +;;;;;Relief fragment of fine grained basalt with lion (or grifon) tail.;
648;C east;F.284;482/a;METAL TOOL & WEAPON;tool;iron;hand;;fragmentary;2;13.6+;;3.2+;;2;;;Fragmentary indeterminate iron tool.;
649;Lawrence's house;F.1504;591/n;Modern object;plug;iron;mold;;complete;1;;;;;;;;Iron plug with 4 holes.;
650;Lawrence's house;F.1504;591/m;stone vessel;stone vessel;basalt;hand;;fragmentary;1;17.8+;;7.7+;;;;;Fragmentof stone vessel with big foot, carenated. Missing rim and bottom. Original Woolley' sign preserved.;
651;C east;F.1343;470/f;stone vessel;stone vessel;basalt;hand;;fragmentary;1;8.8;;;;31;;;"Fragment of medium-grained basalt bowl, flat rim. Rim:2.8 cm; wall:3.5 cm.";
652;C east;F.1343;470/e;stone vessel;stone vessel;basalt;hand;;fragmentary;1;6.4+;;;;41;;;"Fragment of medium-grained basalt bowl, flat rim. Rim: 1.4 cm; wall: 2.6 cm. Mortar used.";
653;Lawrence's house;F.1509;591/e;stone tool ;indeterminate;basalt;hand;;fragmentary;1;10.7;14.8;14.8+;;;;3947;Indeterminate object fine-grained basalt. Handle? In the upper part, notch on the base.;
654;C east;F.1345;476/j;sculpture;statue;basalt;hand;;fragmentary;1;17.9+;;19.7+;3.1;;;;Fragment of statue of medium-grained basalt, with 3 lines incised.;
655;A east;W.770;209/a-b;stone vessel;stone vessel;basalt;hand;;fragmentary;2;11.4+;;;;26;;;"Big stone vessel , high food, ring bottom, careneted, mortar used. Wall: 3.1 cm; bottom: 11.1 cm.";
656;C east;F.1345;476/k;other;indeterminate;limestone;hand;;fragmentary;3;;;;2,3;14,2;;;Discoidal object of limestone with 6 hole along the edge and 1 in the centre.;
657;A east;L.737;211/a;glass container;vessel;glass paste;hand;;fragmentary;1;;3,6;2,7;0,7;;;;Wall fragment of a light blue glass paste vessel.;
658;Lower palace area;surf.;;clay figurine;clay figurine;clay;hand;;fragmentary;1;5,7 +;;5;3,9;;;;"Lower part of a female clay figurine. 5YR8/3; <0.5 mm, <3%.";
659;A east;F.781;208/a;textile tool;loom weight;clay;hand;;complete;1;3;4;3,8;;;;0,6;Donut shaped loom weight.;
660;A east;F.787;212/a;other;indeterminate;limestone;hand;;fragmentary;1;2 +;3,7 +;2,9 +;;;;0.5;Indeterminate object of limestone.;
661;C west;F.900;400/d;sculpture;statue;basalt;hand;;fragmentary;1;14.9+;;14.5+;8.8+;;;;Fragmentary statue of fine-grained basalt.;
662;30m nord area D;surface;;stone tool ;whell;basalt;hand;;fragmentary;1;8.8;;15.9;10.7+;;;;Fragmentary whell (tournette?) of medium-grained basalt. ;
663;A east;F.756;200/b;stone vessel;stone vessel;basalt;hand;;fragmentary;1;6.5;;;;25;;;"Bowl of fine-graned basalt, flat rim and bottom. Rim: 1.6 cm, wall: 3 cm; bottom: 3.6 cm. Mortar used. ";
664;A east;L.737;;stone tool&weapons;mortar;basalt;hand;;fragmentary;1;19 +;;;;50;;;"Basalt mortar of fine grained basalt; wall 8.2 cm.";
665;A;;;sculpture;statue;basalt;hand;;fragmentary;1;105+;;79+;59+;;;;Fregment of lion statue of medium-grained basalt.;
666;Lawrence house;surf.;;clay figurine;clay figurine;clay;hand;applied;fragmentary;1;5,3 +;4,7 +;4,5 +;;;;;Front part of an animal clay figurine with harness.;
667;Lawrence house;surf.;;stone tool&weapons;mortar;basalt;hand;;fragmentary;1;17;;;;35;;;Basalt mortar of coarse grained basalt, with deep depression, two sides used.;
668;C west;surf.;;sculpture;sculpture;basalt;hand;;fragmentary;1;26,5 +;16,5 +;;6,8 +;;;;"Statue fragment of medium grained basalt; it coul be part of Atri Suchas statue.";
